document_id,doi,title,record_id,source_format,source_path,source_bytes,source_sha256,retrieval_status
record_6b4afdec1f09f3fb,,Mechanisms of Heart Failure in Type 2 Diabetes Mellitus,no-doi:40bd6d05bb59fa3d752ad2f2,html,data/full_text/v1.1.2_oversized_20k_seek66/files/6b4afdec1f09f3fb.html,102411,85095942b23b7d6cbe5bb36479f030cd53e5e2464a349f816afabafcbad3efa6,downloaded_html
record_3d07247d162ae7ef,10.1002/ctm2.1006,"Metabolic dysregulation in patients with premature ovarian insufficiency revealed by integrated transcriptomic, methylomic and metabolomic analyses",doi:10.1002/ctm2.1006,pdf,data/full_text/v1.1.2_oversized_20k_seek66/files/3d07247d162ae7ef.pdf,1599698,3aa268dd449ef5a041fa1257e0461d5e79c948ac42e651099e032dcb0c18a47d,downloaded_pdf
record_2c267368c3e80777,10.1002/ctm2.317,A folate receptor 3 SNP promotes mitochondria‐induced clonogenicity of CML leukemia cells: Implications for treatment free remission,doi:10.1002/ctm2.317,pdf,data/full_text/v1.1.2_oversized_20k_seek66/files/2c267368c3e80777.pdf,3187998,45c9a17e1fbbddbfc5eb49aa225d8d5947b9d4cca68c4d52a480bbcf29449623,downloaded_pdf
record_6e1a08c196d61efd,10.1002/ctm2.70395,Customised virus‐like particles: Opening a new chapter for clinical precision gene therapy,doi:10.1002/ctm2.70395,pdf,data/full_text/v1.1.2_oversized_20k_seek66/files/6e1a08c196d61efd.pdf,327998,c9c0e6d59bb6be9950ebb59e5ff2294faf6d991f1e3e08e915931208bc62e196,downloaded_pdf
record_b3d19e34532aedd0,10.1002/wps.20675,The crossroads of psychiatric epigenomics,doi:10.1002/wps.20675,pdf,data/full_text/v1.1.2_oversized_20k_seek66/files/b3d19e34532aedd0.pdf,70417,3fe815c6e502442f9eecc9e728149163cfc4afd7a10238c6f2ef8e39a0637788,downloaded_pdf
record_e942f6146a3a2c38,10.1007/s00112-022-01643-0,Abstracts der 96. Wissenschaftlichen Tagung der Gesellschaft für Pädiatrische Onkologie und Hämatologie (GPOH),doi:10.1007/s00112-022-01643-0,pdf,data/full_text/v1.1.2_oversized_20k_seek66/files/e942f6146a3a2c38.pdf,508369,88ef365a79ef6cd9d308bcc9999624eb743236bd6ca68ddbcd5d4427b3b2553a,downloaded_pdf
record_4e74a9190fdd682c,10.1093/lifemedi/lnac018,The secret of youth: how is systemic rejuvenation achieved at the single cell level?,doi:10.1093/lifemedi/lnac018,pdf,data/full_text/v1.1.2_oversized_20k_seek66/files/4e74a9190fdd682c.pdf,249966,7315c2614ec0fb20b7b4106678a58270824b2c0efa06665f0b8400ff360842da,downloaded_pdf
record_387972fffcca9161,10.1093/lifemedi/lnac022,When spermatogenesis meets human aging and elevated body mass,doi:10.1093/lifemedi/lnac022,pdf,data/full_text/v1.1.2_oversized_20k_seek66/files/387972fffcca9161.pdf,288979,f98db7c68c685055ea0c230be2fc5ca3f52cdff0c8d6060645c9a8cf3314d5d6,downloaded_pdf
record_60a8d25353bb16e9,10.1093/lifemedi/lnae020,Unlocking heart anti-aging potential: the SIRT2-STAT3-CDKN2B pathway as a bridge between fiction and reality,doi:10.1093/lifemedi/lnae020,pdf,data/full_text/v1.1.2_oversized_20k_seek66/files/60a8d25353bb16e9.pdf,2760034,65286292dbaf66d76c97236fe044332600637aef7bc4d0c32aadba1cc76614d8,downloaded_pdf
record_52f9121194c518e9,10.1093/neuonc/noab260,Long telomeres in need of a SNP: Germline contributions of telomere maintenance to glioma,doi:10.1093/neuonc/noab260,pdf,data/full_text/v1.1.2_oversized_20k_seek66/files/52f9121194c518e9.pdf,62369,49a425e0a048986d17252cc2ae9ec9b546e7477ceefb424878c399430beaada2,downloaded_pdf
